               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079618,            0.025468,            0.041187,           0.0012323,             0.27222,           0.0022117,          0.00099473,            0.038351,            0.018867,            0.020855,              0.0775,              0.0025,              0.0025
                   1,            0.063393,            0.025822,            0.040626,            0.002216,              0.7463,           0.0096317,           0.0036725,            0.028939,            0.014787,             0.02029,             0.05405,           0.0050495,           0.0050495
                   2,            0.049161,            0.025767,            0.037918,           0.0030242,             0.91667,            0.053741,            0.030471,             0.02271,            0.013217,            0.020659,            0.030548,           0.0075475,           0.0075475
                   3,            0.049479,            0.025316,            0.039616,           0.0035534,                   1,             0.14738,            0.087812,            0.023888,            0.011295,            0.019995,            0.009703,            0.009703,            0.009703
                   4,            0.047569,            0.021777,            0.038889,             0.44894,             0.28232,              0.1772,             0.11149,            0.018185,           0.0099706,            0.020271,            0.009703,            0.009703,            0.009703
                   5,            0.041575,            0.022328,             0.03623,             0.49171,             0.20793,             0.17336,             0.13042,            0.025101,           0.0098002,            0.020026,            0.009604,            0.009604,            0.009604
                   6,            0.046344,            0.021127,            0.038674,             0.43092,             0.23889,             0.15893,             0.11405,            0.024002,           0.0082003,            0.019887,            0.009505,            0.009505,            0.009505
                   7,            0.039392,            0.020494,            0.035844,             0.44017,             0.30527,             0.17848,            0.093245,            0.018548,           0.0074455,            0.019827,            0.009406,            0.009406,            0.009406
                   8,            0.040072,            0.019309,            0.034482,             0.37162,             0.13889,             0.17115,            0.049556,            0.031551,           0.0054424,            0.019378,            0.009307,            0.009307,            0.009307
                   9,            0.041376,            0.019859,            0.035634,             0.46055,             0.14587,             0.16568,             0.10586,            0.016721,           0.0059319,            0.019252,            0.009208,            0.009208,            0.009208
                  10,             0.04048,            0.020523,             0.03639,             0.33335,             0.14687,             0.16432,             0.11963,            0.020239,           0.0052844,            0.019369,            0.009109,            0.009109,            0.009109
                  11,            0.039745,            0.020038,             0.03792,             0.38883,              0.1608,             0.15298,            0.081578,            0.016437,           0.0053711,             0.01887,             0.00901,             0.00901,             0.00901
                  12,            0.037315,            0.019927,             0.03728,             0.40448,             0.17116,             0.17327,            0.098338,            0.013981,           0.0055255,            0.018598,            0.008911,            0.008911,            0.008911
                  13,             0.03819,            0.018465,            0.036331,             0.49486,             0.13889,             0.15141,            0.095919,            0.023286,           0.0050626,            0.018331,            0.008812,            0.008812,            0.008812
                  14,            0.035016,            0.019799,             0.03641,             0.49478,              0.2037,             0.16957,             0.11484,             0.01743,           0.0057636,            0.018292,            0.008713,            0.008713,            0.008713
                  15,            0.034976,            0.018973,            0.038256,             0.50285,             0.15741,             0.18007,             0.11206,            0.017209,           0.0055339,            0.018366,            0.008614,            0.008614,            0.008614
                  16,            0.029747,            0.020465,            0.036075,             0.62938,             0.17593,             0.20231,             0.11851,            0.017164,            0.005417,            0.018019,            0.008515,            0.008515,            0.008515
                  17,            0.031711,            0.018812,            0.034633,             0.53231,             0.31461,             0.27455,             0.17233,            0.013245,           0.0056567,            0.017997,            0.008416,            0.008416,            0.008416
                  18,            0.029554,            0.020371,            0.034599,              0.6468,              0.3091,             0.25417,            0.078331,            0.018617,            0.005384,            0.017828,            0.008317,            0.008317,            0.008317
                  19,            0.030588,            0.018538,            0.035681,             0.38591,             0.18769,             0.18859,             0.10406,             0.01717,            0.005577,            0.018113,            0.008218,            0.008218,            0.008218
                  20,            0.027223,            0.019676,            0.034071,             0.41498,             0.21808,             0.21919,             0.13999,            0.010999,           0.0051796,            0.018273,            0.008119,            0.008119,            0.008119
                  21,            0.031172,            0.019966,              0.0361,              0.3115,             0.32263,             0.19971,             0.10286,            0.014821,            0.005155,            0.018628,             0.00802,             0.00802,             0.00802
                  22,            0.028104,            0.020329,            0.036999,             0.29673,             0.28704,              0.2706,             0.15218,            0.013727,           0.0058285,            0.018237,            0.007921,            0.007921,            0.007921
                  23,            0.031251,            0.019871,            0.035456,              0.3801,             0.26852,             0.22918,             0.11495,            0.015799,           0.0056499,            0.017753,            0.007822,            0.007822,            0.007822
                  24,            0.025616,            0.019165,            0.033699,             0.39643,             0.25926,             0.20372,             0.12948,            0.015318,           0.0053192,            0.017385,            0.007723,            0.007723,            0.007723
                  25,            0.033198,            0.018301,            0.035699,              0.4078,             0.30556,             0.17142,             0.10817,            0.013521,           0.0054774,            0.017178,            0.007624,            0.007624,            0.007624
                  26,            0.025977,            0.018434,            0.033936,             0.31029,                0.25,             0.17695,            0.093047,            0.017213,             0.00547,             0.01701,            0.007525,            0.007525,            0.007525
                  27,            0.031151,            0.020004,            0.034943,             0.40202,             0.23148,             0.19966,             0.11918,            0.013527,           0.0058539,            0.016581,            0.007426,            0.007426,            0.007426
                  28,            0.027196,            0.018395,            0.033914,             0.39719,              0.2037,             0.19832,             0.10456,             0.01281,           0.0058013,            0.016581,            0.007327,            0.007327,            0.007327
                  29,            0.026891,            0.017607,            0.033061,             0.30336,             0.24269,             0.22241,             0.13625,            0.011282,           0.0056496,            0.016348,            0.007228,            0.007228,            0.007228
                  30,             0.02194,             0.01761,            0.034102,             0.41011,              0.2348,               0.294,             0.18686,            0.012001,           0.0055829,            0.016371,            0.007129,            0.007129,            0.007129
                  31,             0.02377,            0.018255,            0.034614,             0.40424,             0.21296,             0.22009,            0.097462,            0.016894,           0.0050877,            0.016181,             0.00703,             0.00703,             0.00703
                  32,            0.023036,            0.015573,            0.031327,             0.42231,             0.34259,             0.34367,             0.19364,            0.014784,           0.0049956,            0.016319,            0.006931,            0.006931,            0.006931
                  33,            0.025057,            0.018562,             0.03432,             0.40902,             0.24447,             0.27276,             0.16705,            0.012392,           0.0048122,             0.01642,            0.006832,            0.006832,            0.006832
                  34,            0.026074,            0.016507,            0.032704,             0.43385,             0.40428,             0.36713,             0.20449,            0.012661,           0.0048226,            0.016988,            0.006733,            0.006733,            0.006733
                  35,            0.022422,            0.016508,            0.035139,             0.43833,             0.37319,             0.38229,             0.20425,            0.010925,           0.0050818,            0.017439,            0.006634,            0.006634,            0.006634
                  36,            0.025984,            0.016396,            0.032228,             0.45496,             0.37458,             0.39643,             0.17267,            0.011668,           0.0048659,             0.01712,            0.006535,            0.006535,            0.006535
                  37,            0.025512,            0.017681,             0.03318,             0.29159,             0.42254,             0.41607,             0.25458,            0.010823,           0.0047886,            0.017199,            0.006436,            0.006436,            0.006436
                  38,            0.019909,             0.01594,            0.031374,             0.16396,             0.55926,             0.35494,             0.22736,           0.0093701,           0.0048286,            0.017139,            0.006337,            0.006337,            0.006337
                  39,            0.022328,            0.015285,            0.030237,             0.18343,             0.52593,             0.34399,             0.15052,            0.013703,           0.0048093,            0.016653,            0.006238,            0.006238,            0.006238
